,0,1,cluster
5,4.43,4.1,1
7,4.58,4.88,1
8,4.64,5.51,1
9,4.73,5.69,1
12,4.88,5.25,1
20,5.33,5.74,1
21,5.33,5.67,1
22,5.35,5.94,1
25,5.37,4.4,1
27,5.41,5.22,1
29,5.46,5.2,1
31,5.53,5.7,1
32,5.56,3.94,1
33,5.59,5.87,1
34,5.63,4.35,1
35,5.65,5.76,1
36,5.66,3.64,1
39,5.69,5.87,1
40,5.7,5.32,1
42,5.84,5.69,1
44,5.9,5.7,1
47,5.98,5.85,1
48,6.06,6.31,1
49,6.07,5.69,1
50,6.11,5.66,1
51,6.13,4.64,1
52,6.17,5.67,1
55,6.32,6.35,1
57,6.33,4.89,1
60,6.42,6.5,1
61,6.44,5.78,1
62,6.46,4.69,1
63,6.49,5.65,1
65,6.55,3.43,1
66,6.56,5.86,1
67,6.58,4.55,1
69,6.61,5.03,1
70,6.62,5.43,1
71,6.63,5.76,1
72,6.64,4.62,1
74,6.65,4.98,1
76,6.7,5.2,1
78,6.73,5.39,1
79,6.73,5.47,1
80,6.76,4.82,1
81,6.81,6.03,1
84,6.92,6.47,1
86,7.11,6.38,1
88,7.15,6.28,1
89,7.23,6.38,1
90,7.28,5.95,1
92,7.36,5.1,1
93,7.38,6.18,1
94,7.46,6.32,1
96,7.93,4.73,1
97,7.95,6.21,1
101,8.24,4.95,1
102,8.28,6.0,1
106,8.67,5.68,1
110,8.82,6.51,1
